remark,"CSV-Import-Export"
remark,"Date = Tue Oct 22 11:16:15 2024"
remark,"Version = RSLogix 5000 v35.00"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,Pump_Control:AOI,Pump_Drive_Out,"Pump Output","AB:PowerFlex525V_EENET_Drive:O:0","","(Usage := InOut, Constant := false, Required := true, Visible := true)"
COMMENT,Pump_Control:AOI,Pump_Drive_Out,"Pump is installed backwards So Reverse is forward",,"Pump_Drive_Out.REVERSE"
TAG,Pump_Control:AOI,Pump_Drive_In,"Pump Input","AB:PowerFlex525V_EENET_Drive:I:0","","(Usage := InOut, Constant := false, Required := true, Visible := true)"
TAG,Pump_Control:AOI,Treater_Pump,"","Treater_Pump","","(Usage := InOut, Constant := false, Required := true, Visible := true)"
TAG,Pump_Control:AOI,Over_Limit,"Pump Rate called for is over the limits of the pump","BOOL","","(RADIX := Decimal, Usage := Output, ExternalAccess := Read Only, Required := false, Visible := false)"
TAG,Pump_Control:AOI,Treater_Scale,"","Scale_Data","","(Usage := InOut, Constant := false, Required := true, Visible := true)"
TAG,Pump_Control:AOI,ONS_Stop_Pump,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,ONS_Start_Pump,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,tmrRotar_Animate,"the timer that makes the rotor on screen rotate","TIMER","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Pump_Cal_Started,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Cal_Storage_Bit,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Reset_Cal,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Stable_Delay_Set,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Start_Cal_ONS,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Cancel_Cal,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Cal_Pts_Ctr,"","COUNTER","","(Usage := Local, ExternalAccess := Read/Write)"
TAG,Pump_Control:AOI,Empty_Cal_Point,"Cal point with 0 values","DINT","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,tmr_Stable_Delay,"","TIMER","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,cntRotar_Animate,"","COUNTER","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Pump_Speed_Calc,"","Pump_Speed_Calc","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Pump_Rate_Calc,"","Pump_Rate_Calc","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,EmptyString,"","STRING","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Reset_Pump_Prod,"","Reset_Pump_Cal","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,CalPointSum,"","REAL","","(RADIX := Float, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Empty_String,"","STRING","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Reset_New_Product,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Fluid_To_Rate_Calc,"","Calc_Fluid_To_Lbs_Rate","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Lbs_To_Fluid_Calc,"","Calc_Lbs_To_Fluid_Rate","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Rate_Cal_Tare,"","REAL","","(RADIX := Float, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,tmr_Rate_Cal,"Time Used To Get The Rate","TIMER","","(Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Reset_Tare,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Update_Cal_Point,"","BOOL","","(RADIX := Decimal, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Rate_Gross,"","REAL","","(RADIX := Float, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Rate_Tare,"","REAL","","(RADIX := Float, Usage := Local, ExternalAccess := None)"
TAG,Pump_Control:AOI,Starting_Weight,"","REAL","","(RADIX := Float, Usage := Local, ExternalAccess := None)"
TYPE,SCOPE,ROUTINE,COMMENT,OWNING_ELEMENT,LOCATION
RCOMMENT,"Pump_Control:AOI","Logic","Set the Default Cal Factor","MOV(1,Treater_Pump.Product.Cal_Factor)","0"
RCOMMENT,"Pump_Control:AOI","Logic","See If the operator is fine Tuning System","CPT(Treater_Pump.Product.Cal_Factor,(Treater_Pump.Product.Cal_Indicated/Treater_Pump.Product.Cal_Actual)*Treater_Pump.Product.Cal_Factor)","1"
RCOMMENT,"Pump_Control:AOI","Logic","All The Pump Logic","OTU(Treater_Pump.Start_Pump_Reverse)","3"
RCOMMENT,"Pump_Control:AOI","Logic","Edit Treater Product","OTE(Reset_New_Product)","10"
RCOMMENT,"Pump_Control:AOI","Logic","Clear Fault In Drive","OTU(Treater_Pump.Clear_Faults)","14"
RCOMMENT,"Pump_Control:AOI","Logic","Output showing pump is faulted","OTE(Treater_Pump.Faulted)","15"
RCOMMENT,"Pump_Control:AOI","Logic","Set Drive Speed","MOV(Treater_Pump.Speed,Pump_Drive_Out.FreqCommand)","16"
RCOMMENT,"Pump_Control:AOI","Logic","Current Speed Of Pump from 0 to 9000","MOV(Pump_Drive_In.OutputFreq,Treater_Pump.Current_Speed)","17"
RCOMMENT,"Pump_Control:AOI","Logic","To get the rpm of the motor we need to have a speed factor to multliply the freq drive frequency by.$NIf the pump speed factor is 0 then we will use a default value","MOV(0.066,Treater_Pump.Speed_Factor)","18"
RCOMMENT,"Pump_Control:AOI","Logic","Set the Pumps RPM","MUL(Treater_Pump.Current_Speed,Treater_Pump.Speed_Factor,Treater_Pump.Current_RPM)","19"
RCOMMENT,"Pump_Control:AOI","Logic","*******************Pump Calibration *************************$N$N $N$NIf The Cal Speeds are zero then set to default ","MOV(0,Treater_Pump.Cal.Cal_Points.Cal_Point[0].Speed)","24"
RCOMMENT,"Pump_Control:AOI","Logic","Reset the Calibration Points to zero","OTU(Treater_Pump.Cal.Reset_Cal)","34"
RCOMMENT,"Pump_Control:AOI","Logic","Reset the cal points sum and add cal pumps to verify calibration","MOV(0,CalPointSum)","35"
RCOMMENT,"Pump_Control:AOI","Logic","If the sum of the rates equals zero pump calibration required","OTE(Treater_Pump.Cal.Cal_Rqd)","41"
